File updated: 01/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,
Inpatient/Outpatient,CHARGE_CODE,CHARGE_DESC,MEDICATION_NAME,ERX_ID,NDC_CODE,CPT_CODE,GROSS_CHARGES,MIN,MAX,Aetna_HMO,Aetna_PPO,Blue_Cross_HMO_PPO,Blue_Cross_SR_HMO,Blue_Shield_HMO_PPO,Blue_Shield_Sr_HMO,Cigna_PPO,Healthnet_HMO,Healthnet_PPO,Kaiser,Kaiser_SR_MMC,Multiplan,UHC_HMO,UHC_PPO,UHC_SR_HMO/PPO,Uninsured rate for patients that do not qualify for financial assistance*
CSMC IP,02030002,HB ROOM CHARGE 1:4 STP DWN PED,,,,,11343,748,9013,2342,4457,4765,748,3686,1094,9013,3945,3817,4411,2791,3717,5915,6601,896,No standard uninsured rate
CSMC IP,02060001,HB ROOM CHARGE 1:3 STP DWN,,,,,13177,773,10542,4666,5470,4078,773,3219,1270,6253,4602,4612,4309,3859,10542,4763,4744,898,No standard uninsured rate
CSMC IP,02060003,HB ROOM CHARGE TRAUMA 1:3 & 1:4,,,,,31468,2075,13531,10719,13531,4670,2075,7654,3033,10825,10727,10589,11228,7404,3081,4716,6243,2485,No standard uninsured rate
CSMC IP,02060006,HB ROOM CHARGE 1:4 STP DWN,,,,,11904,622,7039,3644,4719,3679,622,2982,1006,5704,3897,4123,4222,3017,7039,4280,4771,1150,No standard uninsured rate
CSMC IP,02060007,HB ROOM CHARGE 1:3 STP DWN **,,,,,13177,869,7904,4489,5522,7904,869,3317,1270,4533,4492,4434,4711,3385,4318,4198,4121,1041,No standard uninsured rate
CSMC IP,02060008,HB ROOM CHARGE 1:4 STP DWN **,,,,,11904,196,4989,4055,4989,1726,196,2414,1148,4095,4058,4006,4256,3058,3901,3792,3723,940,No standard uninsured rate
CSMC IP,02080001,HB ROOM CHARGE TRAUMA 2:1 TO 1:2,,,,,62761,4138,29564,21379,29564,11500,4138,14587,6048,21590,20935,21118,24269,14484,6145,19991,15763,4955,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),CORTICOTROPIN 80 UNITS/ML IJ GEL,17041,63004871001,J0800,358776,19760,180819,117067,131223,95095,19760,80620,36486,123419,122940,123188,120196,95681,180819,119765,116897,33094,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),USTEKINUMAB 90 MG/ML SC SYRG,73888,57894006103,J3357,202935,11177,102277,66217,74224,92663,11177,24352,20638,69810,69539,69679,67987,54120,102277,67743,66121,18719,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),PORFIMER 75 MG IV SOLR,18205,76128015575,J9600,189360,10430,95436,61787,69259,50191,10430,42551,19257,65140,64887,65018,63439,50500,95436,63211,61698,17467,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),INOTUZUMAB OZOGAMICIN 0.9 MG (0.25 MG/ML INITIAL) IV SOLR,132843,00008010001,J9229,181228,9982,91337,59134,66285,48035,9982,40723,18430,62343,62101,62226,60715,48331,91337,60497,59048,16717,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"ATEZOLIZUMAB 1,200 MG/20 ML (60 MG/ML) IV SOLN",127054,50242091701,J9022,85229,4695,42955,27810,31173,22591,4695,19152,8668,29319,29205,29264,28554,22730,42955,28451,27770,7862,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),BRENTUXIMAB VEDOTIN 50 MG IV SOLR,105320,51144005001,J9042,80343,4425,40492,26216,29386,4531,4425,18054,8171,27638,27531,27587,26917,21427,40492,26820,26178,7411,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),GEMTUZUMAB OZOGAMICIN 4.5 MG (1 MG/ML INITIAL CONC) IV SOLR,132886,00008451001,J9203,79469,4377,40052,25931,29066,34634,4377,17858,8082,27338,27232,27287,26624,21194,40052,26528,25893,7331,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),LANREOTIDE 120 MG/0.5 ML SC SYRG,40437,15054112003,J1930,78804,4341,39717,25714,28823,20888,4341,16572,8014,27109,27004,27058,26401,21016,39717,26306,25676,7269,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ALTEPLASE 100 MG IV SOLR,8991,50242008527,J2997,73826,4066,37208,24089,27002,19568,4066,16590,7508,25397,25298,25802,24733,19689,37208,24645,28812,6810,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"DARATUMUMAB-HYALURONIDASE-FIHJ 1,800 MG-30,000 UNIT/15 ML SC SOLN",140935,57894050301,J9144,71081,3915,35824,23194,25998,15892,3915,8288,7229,24452,24357,24407,23814,18957,35824,23728,23160,6557,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),IPILIMUMAB 50 MG/10 ML (5 MG/ML) IV SOLN,103730,00003232711,J9228,68526,3775,34537,22360,25064,18163,3775,15399,6969,23573,23482,23529,22958,18275,34537,22875,22328,6321,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),LANREOTIDE 90 MG/0.3 ML SC SYRG,40436,15054109003,J1930,66825,3681,33680,21805,24442,17713,3681,15016,6796,22988,22899,22945,22388,17822,33680,22308,21773,6164,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),VEDOLIZUMAB 300 MG IV SOLR,117924,64764030020,J3380,62971,3469,31737,20548,23032,16691,3469,14150,6404,21663,21578,21622,21097,16794,31737,21021,20518,5809,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),OBINUTUZUMAB 1000 MG/40 ML IV SOLN,116926,50242007001,J9301,61639,3395,31066,20113,22545,16338,3395,13851,6269,21204,21122,21165,20651,16439,31066,20576,20084,5686,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ATEZOLIZUMAB 840 MG/14 ML (60 MG/ML) IV SOLN,137338,50242091801,J9022,59660,3286,30068,19467,21821,15814,3286,13406,6068,20524,20711,20485,19988,15911,30068,19916,19439,5504,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"RITUXIMAB-HYALURONIDASE,HUMAN 1400 MG/11.7 ML (120 MG/ML) SC SOLN",131569,50242010801,J9311,59190,3260,29832,19314,21649,15689,3260,13301,6020,20362,20283,20324,19830,15786,29832,19759,19286,5460,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),AGALSIDASE BETA 35 MG IV SOLR,25153,58468004001,J0180,59083,3255,29778,19279,21610,15661,3255,13277,6009,20325,20246,20287,19794,15757,29778,19723,19251,5450,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ECULIZUMAB 300 MG/30 ML IV SOLN,38312,25682000101,J1300,58707,3234,29588,19156,27007,15561,3234,14305,5971,20196,20117,20158,18787,15657,29588,19598,19128,5416,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),TENECTEPLASE 50 MG IV SOLR,134117,50242012047,J3101,54518,3003,27477,17789,4635,13279,3003,8010,5545,18755,18682,18720,19443,13058,27477,18199,17764,5029,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"OCTREOTIDE,MICROSPHERES 30 MG IM SSRR",121951,00078082581,J2353,53037,2922,26731,17306,19399,14058,2922,11918,5394,18245,18174,18211,17769,14145,26731,17705,17281,4893,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ADALIMUMAB 40 MG/0.8 ML SC SYKT,24410,00074379902,J0135,50067,2758,25234,16337,18313,13271,2758,11251,5092,17224,17157,17191,16774,13353,25234,16714,21601,4619,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),SECUKINUMAB 150 MG/ML SC PNIJ,121508,00078063968,C9399,49741,2740,25069,16231,18193,13184,2740,11178,5059,17111,17045,17079,16665,13266,25069,16605,16207,4589,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"FACTOR XA,INACTIVATED-ZHZO 200 MG IV SOLR",136959,69853010201,J7169,46782,2577,23578,15265,17111,12400,2577,10513,4758,16094,16031,16063,19042,11482,23578,15617,15243,4316,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),LEUPROLIDE (3 MONTH) 22.5 MG IM SYKT,11212,00074334603,J9217,44481,2450,22418,14514,16269,11790,2450,9996,4524,15302,15243,15273,14902,11863,22418,14849,14493,4103,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),PEMBROLIZUMAB 25 MG/ML IV SOLN,121472,00006302602,J9271,44415,2447,26495,14493,16245,16523,2447,10966,4517,15279,15220,15251,14880,11845,22385,14827,26495,4097,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"ANTI-INHIBITOR COAGULANT CMPLX 1,750-3,250 UNIT IV SOLR",35590,64193042502,J7198,44000,2424,22176,14357,16094,11663,2424,9888,4475,15136,15078,15108,14741,11735,22176,14688,14337,4059,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),RITUXIMAB 10 MG/ML IV CONC,16948,50242005306,J9312,42279,2329,21309,13796,15464,13458,2329,7215,4300,14544,14488,14517,14165,11276,21309,9786,14485,3900,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),BLINATUMOMAB 35 MCG IV KIT,120946,55513016001,J9039,38179,2103,19242,12458,13965,16631,2103,8580,3883,13134,13083,13109,12791,10182,19242,12745,12440,3522,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),PEGFILGRASTIM 6 MG/0.6 ML SC OBISYRINGE,121439,55513019201,J2505,37751,2080,19027,12318,13808,10007,2080,9085,3840,12987,12936,12962,12648,10068,19027,12602,12300,3483,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),PEGFILGRASTIM 6 MG/0.6 ML SC SYRG,18438,55513019001,J2505,37751,2080,19027,12318,17709,10007,2080,6068,3840,12987,12936,12962,12648,10068,19027,12602,12300,3483,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),TREPROSTINIL SODIUM 10 MG/ML IJ SOLN,21304,66302011001,J3285,37271,2053,18785,12162,13632,8660,2053,7336,3791,12822,12772,12798,12487,9940,18785,12442,12144,3438,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ROMIPLOSTIM 500 MCG SC SOLR,76835,55513022201,J2796,37165,2047,18731,12127,13594,13489,2047,8352,3780,12785,12736,12761,12451,9912,18731,12407,12110,3429,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ALTEPLASE IV INFUSION,408400077,50242004406,J2997,36913,2033,18604,12045,4431,9791,2033,13057,3754,12699,12649,12675,12455,8964,18604,15894,7273,3405,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),DIGOXIN IMMUNE FAB 40 MG IV SOLR,12255,50633012011,J1162,33338,1837,16802,10878,12194,8837,1837,7492,3391,11469,11424,11447,11169,8891,16802,11129,10863,3076,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),BASILIXIMAB 20 MG IV SOLR,14935,00078033184,J0480,32992,1818,16628,10766,15039,8745,1818,10248,3356,11350,11306,11328,10558,10735,16628,11014,10750,3044,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),TRASTUZUMAB-ANNS 420 MG IV SOLR,138242,55513013201,Q5117,32120,1770,16189,10481,11748,8514,1770,7218,3267,11050,11007,11029,10761,8566,16189,10723,9718,2963,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),IMMUNE GLOBUL G-GLY-IGA AVG 46 20 GRAM/200 ML (10 %) IJ SOLN,83127,13533080024,J1561,31924,1759,16090,10417,11677,6096,1759,7174,3247,10982,10940,10962,10696,8514,16090,10657,10402,2945,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),PEMETREXED 500 MG IV SOLR,28290,00002762301,J9305,31650,1744,15952,10328,10503,8389,1744,7112,3219,10888,10846,10868,10604,8441,15952,10566,10313,2920,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),DARBEPOETIN ALFA IN POLYSORBAT 500 MCG/ML IJ SYRG,36580,55513003201,J0881,31167,1717,15708,10170,11400,8261,1717,7004,3170,10722,10680,10702,10442,8312,15708,10404,10155,2875,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ICATIBANT 30 MG/3 ML SC SYRG,105340,00093306634,J1744,30931,1704,15589,10093,11314,10441,1704,6951,3146,10641,10599,10621,10363,8249,15589,10326,6570,2854,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ADO-TRASTUZUMAB EMTANSINE 100 MG IV SOLR,113955,50242008801,J9354,29668,1634,14953,9681,10852,10200,1634,3906,3018,10206,10167,10187,9940,7913,14953,9904,9667,2737,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"HUM PROTHROMBIN CPLX(PCC)4FACT 1,000 UNIT (800-1240 UNIT) IV SOLR",118616,63833038702,C9132,29600,1631,14919,9659,10827,7846,1631,6652,3011,10183,10143,10164,9917,7894,14919,9881,9645,2731,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),BEVACIZUMAB 25 MG/ML IV SOLN,28409,50242006101,J9035,28690,1581,14460,9362,10494,10743,1581,5729,2918,9870,9832,9851,9612,7652,14460,9578,9348,2647,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"ANTI-INHIBITOR COAGULANT CMPLX 700-1,300 UNIT IV SOLR",138755,64193042402,J7198,28640,1578,14435,9346,10476,5537,1578,2321,2913,9853,9814,9834,9595,7638,14435,9561,9332,2642,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"OCTREOTIDE,MICROSPHERES 10 MG IM SSRR",121952,00078081181,J2353,27034,1489,13625,8822,9888,7166,1489,6337,2750,9300,9264,9283,9057,7210,13625,9025,8809,2494,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),PALIVIZUMAB 100 MG/ML IM SOLN,34233,60574411301,90378,26737,1473,13476,8725,9780,11541,1473,6008,2719,9198,9162,9181,8958,7131,13476,8926,8712,2467,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),RITUXIMAB-PVVR 10 MG/ML IV SOLN,139946,00069024901,Q5119,26207,1444,13209,8552,8902,10822,1444,5592,2666,9016,8981,8999,8780,6990,13209,8749,7658,2418,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ANTITHROMBIN III (HUMAN) 500 (+/-) UNIT IV SOLR,15712,13533060320,J7197,25120,1384,12661,8197,9188,6659,1384,9033,2555,8642,8608,8626,8416,6700,12661,8386,8607,2318,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),CARFILZOMIB 60 MG IV SOLR,110766,76075010101,J9047,23210,1279,11698,7574,8490,6152,1279,5216,2361,7985,7954,7970,7776,6190,11698,7748,7563,2141,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),DEGARELIX 120 MG SC SOLR,79382,55566840301,J9155,22732,1252,11457,7418,8315,2983,1252,5109,2312,7820,7790,7806,7616,6063,11457,7589,7407,2097,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),IRINOTECAN LIPOSOMAL 4.3 MG/ML IV DISP,124464,15054004301,J9205,22248,1226,11213,7260,8138,5897,1226,5000,2263,7654,7624,7639,7454,5934,11213,7427,7249,2053,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),TRASTUZUMAB-QYYP 420 MG IV SOLR,140179,00069030501,Q5116,21997,1212,11087,7178,8046,8110,1212,4943,2237,7567,7538,7553,7370,5867,11087,7343,7168,2029,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),DENOSUMAB 120 MG/1.7 ML (70 MG/ML) SC SOLN,83036,55513073001,J0897,20898,1151,10533,6819,7644,5540,1151,4696,2126,7189,7161,7176,7002,5574,10533,6977,6809,1928,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),DARATUMUMAB 20 MG/ML IV SOLN,124585,57894050220,J9145,20859,1149,10513,6807,7630,5529,1149,4688,2122,7176,7148,7163,6989,5563,10513,6964,6797,1925,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"DOXORUBICIN, PEG-LIPOSOMAL 2 MG/ML IV SUSP",791,47335005040,Q2050,20323,1120,10243,6632,7434,5855,1120,4567,2067,6992,6964,6979,6809,5420,10243,6785,6622,1875,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),TOCILIZUMAB 400 MG/20 ML (20 MG/ML) IV SOLN,73840,50242013701,J3262,19344,1066,9750,8512,8512,3154,1066,5231,1968,6655,6629,6642,6481,5159,9750,6458,6628,1785,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"LYMPHOCYTE,ANTI-THYMO IMM GLOB 50 MG/ML IV SOLN",9526,00009722402,J7504,19213,1059,9684,6270,7028,5093,1059,4597,1954,6610,6584,6597,6437,5124,9684,6414,6583,1773,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),IDARUCIZUMAB 2.5 GRAM/50 ML IV SOLN,124446,00597019705,J3590,19161,1056,9657,6253,7009,5079,1056,4306,1949,6592,6566,6580,6420,3954,9657,6397,6244,1768,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),DARBEPOETIN ALFA IN POLYSORBAT 300 MCG/0.6 ML IJ SYRG,36943,55513011101,J0881,18700,1030,9425,6102,6840,4957,1030,4202,1902,6433,6408,6421,6265,4988,9425,6243,6093,1725,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),BEVACIZUMAB-BVZR 25 MG/ML IV SOLN,139414,00069034201,Q5118,18685,1030,9418,6097,6835,4953,1030,4199,1901,6428,6403,6416,6260,4984,9418,6238,6088,1724,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),SACITUZUMAB GOVITECAN-HZIY 180 MG IV SOLR,140775,55135013201,J9317,18656,1028,9403,6088,6824,6204,1028,4193,1898,6418,6393,6406,6251,4976,9403,6228,6079,1721,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ROMIPLOSTIM 250 MCG SC SOLR,76836,55513022101,J2796,18583,1024,9366,6064,6797,7346,1024,4176,1890,6393,6368,6381,5947,4956,9366,6204,6055,1715,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),TREPROSTINIL SODIUM  5 MG/ML IJ SOLN,21303,66302010501,J3285,17984,991,9064,5869,6578,4767,991,4042,1829,6187,6163,6175,6025,4797,9064,6004,5860,1659,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),SOMATROPIN 2 MG/0.25 ML SC SYRG,1714,00013265802,J2941,17309,954,8724,5648,6331,4588,954,3890,1761,5955,5932,5944,5799,4617,8724,5778,5640,1597,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ROMIPLOSTIM 125 MCG SC SOLR,139497,55513022301,J2796,16518,910,8325,5390,6042,4379,910,3712,1680,5683,5661,5672,5534,4406,8325,5514,5382,1524,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),FERUMOXYTOL 510 MG/17 ML (30 MG/ML) IV SOLN,81166,59338077501,Q0138,16224,894,8177,5294,5934,4301,894,3646,1650,5582,5560,5571,5436,4327,8177,5416,5287,1497,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),IMMUNE GLOBUL G-GLY-IGA AVG 46 10 GRAM/100 ML (10 %) IJ SOLN,83126,13533080071,J1561,15962,880,8045,5209,5839,4231,880,3587,1624,5491,5470,5481,5348,4257,8045,5329,5201,1473,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),SARILUMAB 200 MG/1.14 ML SC SYRG,131493,00024591001,J3590,15339,845,7731,5006,5611,4066,845,3447,1560,5277,5257,5267,5139,4091,7731,5121,4998,1415,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),RITUXIMAB 10 MG/ML IV CONC,16948,50242005121,J9312,15033,828,7577,4906,5499,2964,828,3379,1529,5172,5152,5162,5037,4010,7577,5019,1225,1387,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ETONOGESTREL 68 MG SD IMPL,36900,00052433001,J7307,14958,824,7539,4881,5471,3965,824,3362,1522,5146,5126,5136,5012,3990,7539,4994,4874,1380,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),ISOSULFAN BLUE 1 % SC SOLN,11907,63261025021,Q9968,14918,822,7519,4868,1565,2544,822,1795,1518,5132,5112,5123,4998,3979,7519,4980,1630,1377,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),HUM PROTHROMBIN CPLX(PCC)4FACT 500 UNIT (400-620 UNIT) IV SOLR,118427,63833038602,C9132,14800,816,7460,4830,5414,3923,816,2042,1506,5092,5180,5082,4736,3947,7460,4941,4823,1366,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),BENDAMUSTINE 25 MG/ML IV SOLN,125167,63459034804,J9034,14735,812,7427,4808,5390,3906,812,3312,1499,5069,5050,5060,4937,3930,7427,4919,4801,1360,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),FULVESTRANT 250 MG/5 ML IM SYRG,21200,00310072010,J9395,14460,797,7288,4719,5289,3833,797,3250,1471,4975,4955,4965,4845,3857,7288,4827,4712,1334,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),"DOXORUBICIN, PEG-LIPOSOMAL 2 MG/ML IV SUSP",791,47335004940,Q2050,14452,796,7284,4716,5286,3831,796,3248,1470,4972,4953,4963,4842,3855,7284,4825,4709,1334,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),BORTEZOMIB 3.5 MG IJ SOLR,25217,63020004901,J9041,14427,795,7272,4708,5277,7200,795,1683,1468,4963,4944,4954,4834,3848,7272,4816,4701,1331,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),BELATACEPT 250 MG IV SOLR,104871,00003037113,J0485,14380,792,7248,4693,7178,3812,792,3232,1463,4947,4928,4938,4818,3835,7248,4801,4686,1327,No standard uninsured rate
CSMC IP,02502425,HB ERX 250 (OP 636),TREPROSTINIL SODIUM  1 MG/ML IJ SOLN,21301,66302010101,J3285,14325,789,7220,4675,5240,3797,789,5072,1457,4928,4909,4919,4800,3821,7220,4782,4668,1322,No standard uninsured rate
