Code,Description,Charge Amount,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
4680200605,"DIAGNOSTIC IMAGING - ANALYSIS OF BRAIN BLOOD FLOW, VOLUME, AND TRANSIT TIME USING CT DATA","$2,767.87",,,,,,,
4630202155,"DIAGNOSTIC IMAGING - BALLOON DILATION OF DIALYSIS SEGMENT, ACCESSED THROUGH THE SKIN, WITH IMAGING","$5,305.47",,,,,,,
4630202185,"DIAGNOSTIC IMAGING - BALLOON DILATION OF VEIN, EACH ADDITIONAL VEIN","$17,684.92",,,,,,,
4670200980,"DIAGNOSTIC IMAGING - BIOPSY OF BREAST ACCESSED THROUGH THE SKIN WITH ULTRASOUND GUIDANCE , EACH ADDITIONAL LESION","$1,259.39",,,,,,,
4670200975,"DIAGNOSTIC IMAGING - BIOPSY OF BREAST ACCESSED THROUGH THE SKIN WITH ULTRASOUND GUIDANCE, FIRST LESION","$2,367.65",,,,,,,
4630201830,"DIAGNOSTIC IMAGING - BIOPSY OF BREAST ACCESSED THROUGH THE SKIN, COMPUTER GUIDANCE, FIRST LESION","$4,187.84",,,,,,,
4630201840,"DIAGNOSTIC IMAGING - BIOPSY OF BREAST ACCESSED THROUGH THE SKIN, COMPUTER GUIDANCE, FIRST LESION","$3,349.70",,,,,,,
4630201835,"DIAGNOSTIC IMAGING - BIOPSY OF BREAST ACCESSED THROUGH THE SKIN, COMPUTER GUIDANCE, FIRST LESION","$3,349.70",,,,,,,
4630201480,DIAGNOSTIC IMAGING - COMPLETE X-RAY OF ABDOMEN AND SINGLE VIEW X-RAY OF CHEST,$935.08,,,,,,,
4630201800,DIAGNOSTIC IMAGING - CONSULTATION ON X-RAY IMAGING,$191.87,,,,,,,
4590200020,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ABDOMINAL AORTA AND BOTH LEG ARTERIES BY SERIAL IMAGING,"$4,735.77",,,,,,,
4630700310,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ABDOMINAL AORTA AND BOTH LEG ARTERIES BY SERIAL IMAGING,"$4,735.77",,,,,,,
4630700305,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ABDOMINAL AORTA BY SERIAL IMAGING,"$3,110.17",,,,,,,
4590200015,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ABDOMINAL AORTA BY SERIAL IMAGING,"$3,110.17",,,,,,,
4630700335,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ABDOMINAL ARTERY,"$21,583.54",,,,,,,
4590200095,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ABDOMINAL ARTERY,"$21,583.54",,,,,,,
4630201765,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ABSCESS OR ABNORMAL DRAINAGE TRACT,$878.28,,,,,,,
4590200105,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ADRENAL GLAND ARTERY ON BOTH SIDES,"$7,776.83",,,,,,,
4590200100,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ADRENAL GLAND ARTERY ON ONE SIDE,"$7,776.83",,,,,,,
4590200210,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ADRENAL GLAND VEINS ON BOTH SIDES,"$7,776.83",,,,,,,
4590200205,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ADRENAL GLAND VEINS ON ONE SIDE,"$7,776.83",,,,,,,
4630201385,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ANKLE JOINT,"$1,056.45",,,,,,,
4590200080,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG ARTERY ON BOTH SIDES,"$5,541.31",,,,,,,
4630700320,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG ARTERY ON BOTH SIDES,"$5,541.31",,,,,,,
4630700315,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG ARTERY ON ONE SIDE,"$5,290.56",,,,,,,
4590200075,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG ARTERY ON ONE SIDE,"$5,290.56",,,,,,,
4590200150,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG LYMPH SYSTEM ON BOTH SIDES,"$1,560.81",,,,,,,
4590200145,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG LYMPH SYSTEM ON ONE SIDE,"$1,560.81",,,,,,,
4590200180,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG VEINS ON BOTH SIDES,"$2,210.41",,,,,,,
4630700365,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG VEINS ON BOTH SIDES,"$2,210.41",,,,,,,
4630700360,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG VEINS ON ONE SIDE,"$2,343.96",,,,,,,
4590200175,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ARM OR LEG VEINS ON ONE SIDE,"$2,343.96",,,,,,,
4630201620,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF BILIARY AND PANCREATIC DUCTS BY ENDOSCOPE,"$2,291.32",,,,,,,
4630201610,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF BILIARY DUCTS BY ENDOSCOPE,$854.73,,,,,,,
4630201690,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF BLADDER AND BLADDER CANAL BY RETROGRADE TECHNIQUE,"$1,178.63",,,,,,,
4630201695,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF BLADDER AND BLADDER CANAL WHILE BLADDER IS EMPTYING,"$1,284.18",,,,,,,
4630201675,"DIAGNOSTIC IMAGING - CONTRAST X-RAY OF BLADDER, 3 OR MORE VIEWS",$876.90,,,,,,,
4630201670,"DIAGNOSTIC IMAGING - CONTRAST X-RAY OF BLADDER, 3 OR MORE VIEWS",$876.90,,,,,,,
4590200270,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF BLOOD VESSEL FOR EVALUATION OF THERAPY,"$3,762.71",,,,,,,
4630700410,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF BLOOD VESSEL FOR EVALUATION OF THERAPY,"$3,762.71",,,,,,,
4630200475,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF BRAIN AND SPINAL CORD,"$1,915.23",,,,,,,
4590200010,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF CHEST AORTA BY SERIAL IMAGING,"$21,583.54",,,,,,,
4630700300,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF CHEST AORTA BY SERIAL IMAGING,"$21,583.54",,,,,,,
4590200005,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF CHEST AORTA WITHOUT SERIAL IMAGING,"$7,776.83",,,,,,,
4590200135,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF EACH ADDITIONAL SELECTIVE ARTERY BEYOND BASIC STUDY,"$1,528.01",,,,,,,
4630700345,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF EACH ADDITIONAL SELECTIVE ARTERY BEYOND BASIC STUDY,"$1,528.01",,,,,,,
4630201050,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF ELBOW JOINT,"$1,056.45",,,,,,,
4590200230,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF EYE VEINS,"$3,878.91",,,,,,,
4630201725,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF FALLOPIAN TUBES AND OVARIES,"$1,106.67",,,,,,,
4590200215,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF HEAD OR NECK VEINS,"$2,756.98",,,,,,,
4630201210,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF HIP JOINT,"$1,106.67",,,,,,,
4590200130,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF INTERNAL BREAST ARTERY,"$2,756.98",,,,,,,
4630200600,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF JAW JOINT,"$1,056.45",,,,,,,
4630201895,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF JOINT WITH APPLICATION OF STRESS BY QUALIFIED PROFESSIONAL,$173.80,,,,,,,
4630201700,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF KIDNEY CYST,"$1,874.48",,,,,,,
4630700385,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF KIDNEY VEINS ON BOTH SIDES,"$4,057.93",,,,,,,
4590200200,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF KIDNEY VEINS ON BOTH SIDES,"$4,057.93",,,,,,,
4590200195,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF KIDNEY VEINS ON ONE SIDE,"$3,215.15",,,,,,,
4630700380,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF KIDNEY VEINS ON ONE SIDE,"$3,215.15",,,,,,,
4630201305,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF KNEE JOINT,"$1,106.67",,,,,,,
4630700390,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LIVER VEIN WITH ASSESSMENT OF BLOOD FLOW,"$12,983.30",,,,,,,
4590200235,"DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LIVER VEIN WITH ASSESSMENT OF BLOOD FLOW, ACCESSED THROUGH THE SKIN","$7,776.83",,,,,,,
4630700395,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LIVER VEIN WITHOUT ASSESSMENT OF BLOOD FLOW,"$12,983.30",,,,,,,
4590200240,"DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LIVER VEIN WITHOUT ASSESSMENT OF BLOOD FLOW, ACCESSED THROUGH THE SKIN","$2,756.98",,,,,,,
4630201485,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LOWER ABDOMINAL CAVITY,$882.62,,,,,,,
4630700490,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LOWER ABDOMINAL CAVITY,$676.02,,,,,,,
4630200470,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LOWER BACK PORTION OF BRAIN,"$1,915.23",,,,,,,
4630200890,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LOWER SPINAL CANAL,"$1,517.56",,,,,,,
4630200920,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LOWER SPINE BONES,"$4,167.61",,,,,,,
4590200125,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LUNG ARTERIAL SYSTEM ON BOTH SIDES USING NON-SELECTIVE APPROACH,"$2,756.98",,,,,,,
4590200120,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LUNG ARTERY ON BOTH SIDES,"$6,607.34",,,,,,,
4590200115,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF LUNG ARTERY ON ONE SIDE,"$3,884.45",,,,,,,
4590200185,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF MAJOR ABDOMINAL VEIN,"$4,543.86",,,,,,,
4630700370,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF MAJOR ABDOMINAL VEIN,"$4,543.86",,,,,,,
4630700375,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF MAJOR CHEST VEIN,"$3,583.83",,,,,,,
4590200190,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF MAJOR CHEST VEIN,"$3,583.83",,,,,,,
4630200885,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF MIDDLE SPINAL CANAL,"$1,040.68",,,,,,,
4630201875,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF MULTIPLE BREAST DUCTS,$882.62,,,,,,,
4630200895,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF MULTIPLE REGIONS IN SPINAL CANAL,"$3,581.07",,,,,,,
4630201615,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF PANCREATIC DUCTS BY ENDOSCOPE,$599.80,,,,,,,
4590200160,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF PELVIC AND ABDOMINAL LYMPH SYSTEM ON BOTH SIDES,"$12,983.30",,,,,,,
4630700340,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF PELVIC ARTERY,"$21,583.54",,,,,,,
4590200110,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF PELVIC ARTERY,"$21,583.54",,,,,,,
4630700355,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF PREVIOUSLY PLACED SHUNT,"$1,371.46",,,,,,,
4590200165,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF PREVIOUSLY PLACED SHUNT,"$1,371.46",,,,,,,
4630200640,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF SALIVARY GLAND,"$1,040.68",,,,,,,
4630200985,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF SHOULDER JOINT,"$1,106.67",,,,,,,
4630201870,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF SINGLE BREAST DUCT,"$1,280.64",,,,,,,
4590200070,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF SPINAL ARTERY,"$7,776.83",,,,,,,
4630201500,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF SWALLOWING FUNCTION,"$1,212.15",,,,,,,
4630200530,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF TEAR DRAINAGE STRUCTURE OF EYE,$882.62,,,,,,,
4630201490,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF THROAT OR UPPER ESOPHAGUS,$296.85,,,,,,,
4630200905,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF UPPER OR MIDDLE SPINE BONES,"$6,417.08",,,,,,,
4630200880,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF UPPER SPINAL CANAL,"$1,517.56",,,,,,,
4630201665,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF URINARY TRACT BY ANTEGRADE TECHNIQUE,$887.98,,,,,,,
4630201650,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF URINARY TRACT BY INFUSION TECHNIQUE,$674.76,,,,,,,
4630201645,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF URINARY TRACT BY INTRAVENOUS TECHNIQUE,$974.67,,,,,,,
4630201660,DIAGNOSTIC IMAGING - CONTRAST X-RAY OF URINARY TRACT BY RETROGRADE TECHNIQUE,"$1,196.91",,,,,,,
