Code,Description,Charge Amount,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
44504223.0,ANESTHESIA,$347.00,,,,,,,,,,
44504132.0,ANESTHESIA,$347.00,,,,,,,,,,
44504033.0,ANESTHESIA,$850.00,,,,,,,,,,
44504025.0,ANESTHESIA,"$3,675.00",,,,,,,,,,
40410607.0,ANESTHESIA,$164.00,,,,,,,,,,
44504496.0,ANESTHESIA,$347.00,,,,,,,,,,
44504462.0,ANESTHESIA,$88.00,,,,,,,,,,
44504389.0,ANESTHESIA,$484.00,,,,,,,,,,
44504132.0,ANESTHESIA,$364.00,,,,,,,,,,
40410508.0,ANESTHESIA,$704.00,,,,,,,,,,
44504462.0,ANESTHESIA,$88.00,,,,,,,,,,
44504496.0,ANESTHESIA,$371.00,,,,,,,,,,
44504132.0,ANESTHESIA,$347.00,,,,,,,,,,
40410607.0,ANESTHESIA,$164.00,,,,,,,,,,
44504405.0,ANESTHESIA,$121.00,,,,,,,,,,
44504389.0,ANESTHESIA,$517.00,,,,,,,,,,
44504223.0,ANESTHESIA,$347.00,,,,,,,,,,
48480032.0,BEHAVIORAL HEALTH - ACTIVITY THERAPY RELATED TO CARE AND TREATMENT OF MENTAL HEALTH PROBLEM,$414.00,,,,,,,,,,
4100103.0,BEHAVIORAL HEALTH - ACTIVITY THERAPY RELATED TO CARE AND TREATMENT OF MENTAL HEALTH PROBLEM,$184.00,,,,,,,,,,
42600031.0,BEHAVIORAL HEALTH - ACTIVITY THERAPY RELATED TO CARE AND TREATMENT OF MENTAL HEALTH PROBLEM,$414.00,,,,,,,,,,
4100020.0,BEHAVIORAL HEALTH - GROUP PSYCHOTHERAPY,$196.00,,,,,,,,,,
48400006.0,BEHAVIORAL HEALTH - GROUP PSYCHOTHERAPY,$275.00,,,,,,,,,,
42600007.0,BEHAVIORAL HEALTH - GROUP PSYCHOTHERAPY,$196.00,,,,,,,,,,
4100053.0,"BEHAVIORAL HEALTH - INTERACTIVE COMPLEXITY, ADDITIONAL PSYCHOTHERAPY SERVICE",$195.00,,,,,,,,,,
42600015.0,"BEHAVIORAL HEALTH - INTERACTIVE COMPLEXITY, ADDITIONAL PSYCHOTHERAPY SERVICE",$195.00,,,,,,,,,,
48400014.0,"BEHAVIORAL HEALTH - INTERACTIVE COMPLEXITY, ADDITIONAL PSYCHOTHERAPY SERVICE",$195.00,,,,,,,,,,
45450517.0,BLOOD ADMINISTRATION - TRANSFUSION OF BLOOD OR BLOOD PRODUCTS,"$1,550.00",,,,,,,,,,
45450517.0,BLOOD ADMINISTRATION - TRANSFUSION OF BLOOD OR BLOOD PRODUCTS,"$1,047.00",,,,,,,,,,
45450517.0,BLOOD ADMINISTRATION - TRANSFUSION OF BLOOD OR BLOOD PRODUCTS,$748.00,,,,,,,,,,
45450517.0,BLOOD ADMINISTRATION - TRANSFUSION OF BLOOD OR BLOOD PRODUCTS,$748.00,,,,,,,,,,
45450517.0,BLOOD ADMINISTRATION - TRANSFUSION OF BLOOD OR BLOOD PRODUCTS,$748.00,,,,,,,,,,
45450517.0,BLOOD ADMINISTRATION - TRANSFUSION OF BLOOD OR BLOOD PRODUCTS,"$1,047.00",,,,,,,,,,
45400132.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT ANTIGLOBULIN TECHNIQUE),$364.00,,,,,,,,,,
45400132.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT ANTIGLOBULIN TECHNIQUE),$364.00,,,,,,,,,,
45400132.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT ANTIGLOBULIN TECHNIQUE),$97.00,,,,,,,,,,
45400132.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT ANTIGLOBULIN TECHNIQUE),$364.00,,,,,,,,,,
45400132.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT ANTIGLOBULIN TECHNIQUE),$364.00,,,,,,,,,,
45400132.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT ANTIGLOBULIN TECHNIQUE),$97.00,,,,,,,,,,
45400116.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT IMMEDIATE SPIN TECHNIQUE),$111.00,,,,,,,,,,
45400116.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT IMMEDIATE SPIN TECHNIQUE),$111.00,,,,,,,,,,
45400116.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT IMMEDIATE SPIN TECHNIQUE),$79.00,,,,,,,,,,
45400116.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT IMMEDIATE SPIN TECHNIQUE),$79.00,,,,,,,,,,
45400116.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT IMMEDIATE SPIN TECHNIQUE),$79.00,,,,,,,,,,
45400116.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT IMMEDIATE SPIN TECHNIQUE),$111.00,,,,,,,,,,
45400124.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT INCUBATION TECHNIQUE),$125.00,,,,,,,,,,
45400124.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT INCUBATION TECHNIQUE),$125.00,,,,,,,,,,
45400124.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT INCUBATION TECHNIQUE),$89.00,,,,,,,,,,
45400124.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT INCUBATION TECHNIQUE),$125.00,,,,,,,,,,
45400124.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT INCUBATION TECHNIQUE),$89.00,,,,,,,,,,
45400124.0,BLOOD PROCESSING & STORAGE - COMPATABILITY TEST FOR DONOR BLOOD (EACH UNIT INCUBATION TECHNIQUE),$89.00,,,,,,,,,,
45400751.0,"BLOOD PROCESSING & STORAGE - Concentrated Platelets, Each Unit",$822.00,,,,,,,,,,
45400751.0,"BLOOD PROCESSING & STORAGE - Concentrated Platelets, Each Unit",$587.00,,,,,,,,,,
45400751.0,"BLOOD PROCESSING & STORAGE - Concentrated Platelets, Each Unit",$587.00,,,,,,,,,,
45400751.0,"BLOOD PROCESSING & STORAGE - Concentrated Platelets, Each Unit",$822.00,,,,,,,,,,
45400751.0,"BLOOD PROCESSING & STORAGE - Concentrated Platelets, Each Unit",$587.00,,,,,,,,,,
45400751.0,"BLOOD PROCESSING & STORAGE - Concentrated Platelets, Each Unit",$822.00,,,,,,,,,,
45400827.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$630.00,,,,,,,,,,
45400777.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$84.00,,,,,,,,,,
45400819.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$600.00,,,,,,,,,,
45400827.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$450.00,,,,,,,,,,
45400777.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$60.00,,,,,,,,,,
45400827.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$630.00,,,,,,,,,,
45400819.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$840.00,,,,,,,,,,
45400777.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$60.00,,,,,,,,,,
45400827.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$450.00,,,,,,,,,,
45400819.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$840.00,,,,,,,,,,
45400819.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$600.00,,,,,,,,,,
45400777.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$84.00,,,,,,,,,,
45400827.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$450.00,,,,,,,,,,
45400819.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$600.00,,,,,,,,,,
45400777.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$84.00,,,,,,,,,,
45400827.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$630.00,,,,,,,,,,
45400777.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$84.00,,,,,,,,,,
45400777.0,"BLOOD PROCESSING & STORAGE - Frozen Clotting Factors Derived From Plasma, Each Unit",$60.00,,,,,,,,,,
45400801.0,BLOOD PROCESSING & STORAGE - PROCESSING AND STORAGE OF BLOOD UNIT (PRE-DEPOSITED),$582.00,,,,,,,,,,
45400801.0,BLOOD PROCESSING & STORAGE - PROCESSING AND STORAGE OF BLOOD UNIT (PRE-DEPOSITED),$582.00,,,,,,,,,,
45400801.0,BLOOD PROCESSING & STORAGE - PROCESSING AND STORAGE OF BLOOD UNIT (PRE-DEPOSITED),$582.00,,,,,,,,,,
45400801.0,BLOOD PROCESSING & STORAGE - PROCESSING AND STORAGE OF BLOOD UNIT (PRE-DEPOSITED),$815.00,,,,,,,,,,
45400801.0,BLOOD PROCESSING & STORAGE - PROCESSING AND STORAGE OF BLOOD UNIT (PRE-DEPOSITED),$815.00,,,,,,,,,,
45400801.0,BLOOD PROCESSING & STORAGE - PROCESSING AND STORAGE OF BLOOD UNIT (PRE-DEPOSITED),$815.00,,,,,,,,,,
41005018.0,BLOOD PROCESSING & STORAGE - RED BLOOD CELL ANTIBODIES IDENTIFICATION (SERUM TECHNIQUE),$65.70,,,,,,,,,,
45400199.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$111.00,,,,,,,,,,
45400199.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$111.00,,,,,,,,,,
45400835.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$792.00,,,,,,,,,,
45400199.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$111.00,,,,,,,,,,
45400843.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$396.00,,,,,,,,,,
45400835.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,"$1,109.00",,,,,,,,,,
45400843.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$554.00,,,,,,,,,,
45400199.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$79.00,,,,,,,,,,
45400835.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,"$1,109.00",,,,,,,,,,
45400843.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$396.00,,,,,,,,,,
45400835.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$792.00,,,,,,,,,,
45400843.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$554.00,,,,,,,,,,
45400835.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$792.00,,,,,,,,,,
45400199.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$79.00,,,,,,,,,,
45400199.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$79.00,,,,,,,,,,
45400835.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,"$1,109.00",,,,,,,,,,
45400843.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$396.00,,,,,,,,,,
45400843.0,BLOOD PROCESSING & STORAGE - THAWING OF FRESH FROZEN PLASMA,$554.00,,,,,,,,,,
45400744.0,"BLOOD PRODUCTS - Fresh Frozen Plasma From a Single Donor, Each Unit",$30.00,,,,,,,,,,
45400744.0,"BLOOD PRODUCTS - Fresh Frozen Plasma From a Single Donor, Each Unit",$42.00,,,,,,,,,,
45400744.0,"BLOOD PRODUCTS - Fresh Frozen Plasma From a Single Donor, Each Unit",$30.00,,,,,,,,,,
45400744.0,"BLOOD PRODUCTS - Fresh Frozen Plasma From a Single Donor, Each Unit",$30.00,,,,,,,,,,
45400744.0,"BLOOD PRODUCTS - Fresh Frozen Plasma From a Single Donor, Each Unit",$42.00,,,,,,,,,,
45400744.0,"BLOOD PRODUCTS - Fresh Frozen Plasma From a Single Donor, Each Unit",$42.00,,,,,,,,,,
45400769.0,"BLOOD PRODUCTS - Platelets, Each Unit",$788.00,,,,,,,,,,
45400769.0,"BLOOD PRODUCTS - Platelets, Each Unit",$788.00,,,,,,,,,,
45400769.0,"BLOOD PRODUCTS - Platelets, Each Unit",$788.00,,,,,,,,,,
45400769.0,"BLOOD PRODUCTS - Platelets, Each Unit","$1,103.00",,,,,,,,,,
45400710.0,"BLOOD PRODUCTS - Red Blood Cells With Reduced White Cells, Each Unit",$217.00,,,,,,,,,,
45400710.0,"BLOOD PRODUCTS - Red Blood Cells With Reduced White Cells, Each Unit",$304.00,,,,,,,,,,
45400710.0,"BLOOD PRODUCTS - Red Blood Cells With Reduced White Cells, Each Unit",$217.00,,,,,,,,,,
45400710.0,"BLOOD PRODUCTS - Red Blood Cells With Reduced White Cells, Each Unit",$304.00,,,,,,,,,,
45400710.0,"BLOOD PRODUCTS - Red Blood Cells With Reduced White Cells, Each Unit",$217.00,,,,,,,,,,
45400710.0,"BLOOD PRODUCTS - Red Blood Cells With Reduced White Cells, Each Unit",$451.00,,,,,,,,,,
45400702.0,"BLOOD PRODUCTS - Red Blood Cells, Each Unit",$390.00,,,,,,,,,,
45400702.0,"BLOOD PRODUCTS - Red Blood Cells, Each Unit",$390.00,,,,,,,,,,
45400702.0,"BLOOD PRODUCTS - Red Blood Cells, Each Unit",$390.00,,,,,,,,,,
45400702.0,"BLOOD PRODUCTS - Red Blood Cells, Each Unit",$546.00,,,,,,,,,,
45400702.0,"BLOOD PRODUCTS - Red Blood Cells, Each Unit",$390.00,,,,,,,,,,
45400702.0,"BLOOD PRODUCTS - Red Blood Cells, Each Unit",$546.00,,,,,,,,,,
45400728.0,"BLOOD PRODUCTS - Washed Red Blood Cells, Each Unit",$402.00,,,,,,,,,,
45400728.0,"BLOOD PRODUCTS - Washed Red Blood Cells, Each Unit",$402.00,,,,,,,,,,
45400728.0,"BLOOD PRODUCTS - Washed Red Blood Cells, Each Unit",$402.00,,,,,,,,,,
45400728.0,"BLOOD PRODUCTS - Washed Red Blood Cells, Each Unit",$563.00,,,,,,,,,,
45400728.0,"BLOOD PRODUCTS - Washed Red Blood Cells, Each Unit",$563.00,,,,,,,,,,
45400728.0,"BLOOD PRODUCTS - Washed Red Blood Cells, Each Unit",$563.00,,,,,,,,,,
45400736.0,"BLOOD PRODUCTS - Whole Blood, Each Unit",$381.00,,,,,,,,,,
45400736.0,"BLOOD PRODUCTS - Whole Blood, Each Unit",$381.00,,,,,,,,,,
45400736.0,"BLOOD PRODUCTS - Whole Blood, Each Unit",$533.00,,,,,,,,,,
45400736.0,"BLOOD PRODUCTS - Whole Blood, Each Unit",$381.00,,,,,,,,,,
46200036.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,$382.00,,,,,,,,,,
46200036.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,$347.00,,,,,,,,,,
46200044.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,"$1,909.00",,,,,,,,,,
46200044.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,$916.00,,,,,,,,,,
46200044.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,"$1,236.00",,,,,,,,,,
46200036.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,$477.00,,,,,,,,,,
46200036.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,$468.00,,,,,,,,,,
46200044.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,$916.00,,,,,,,,,,
46200036.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,$382.00,,,,,,,,,,
46200044.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,"$1,909.00",,,,,,,,,,
46200036.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,$477.00,,,,,,,,,,
46200044.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND ASLEEP,$916.00,,,,,,,,,,
46200028.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND DROWSY,"$1,084.00",,,,,,,,,,
46200028.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND DROWSY,$329.00,,,,,,,,,,
46200028.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND DROWSY,"$1,084.00",,,,,,,,,,
46200028.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND DROWSY,$444.00,,,,,,,,,,
46200028.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND DROWSY,$329.00,,,,,,,,,,
46200028.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY AWAKE AND DROWSY,$329.00,,,,,,,,,,
46200069.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY FOR EVAUATION OF BRAIN DEATH,$208.00,,,,,,,,,,
46200069.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY FOR EVAUATION OF BRAIN DEATH,$281.00,,,,,,,,,,
46200069.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY FOR EVAUATION OF BRAIN DEATH,$208.00,,,,,,,,,,
46200069.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY FOR EVAUATION OF BRAIN DEATH,$260.00,,,,,,,,,,
46200069.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY FOR EVAUATION OF BRAIN DEATH,$260.00,,,,,,,,,,
46200069.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY FOR EVAUATION OF BRAIN DEATH,$208.00,,,,,,,,,,
46200051.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY IN COMA OR ASLEEP,$648.00,,,,,,,,,,
46200051.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY IN COMA OR ASLEEP,$648.00,,,,,,,,,,
46200051.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY IN COMA OR ASLEEP,$648.00,,,,,,,,,,
46200051.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY IN COMA OR ASLEEP,$809.00,,,,,,,,,,
46200051.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY IN COMA OR ASLEEP,$874.00,,,,,,,,,,
46200051.0,BRAIN MONITORING - MEASUREMENT OF BRAIN WAVE ACTIVITY IN COMA OR ASLEEP,$809.00,,,,,,,,,,
45900081.0,"CARDIOLOGY - COMPLETE DOPPLER ULTRASOUND STUDY OF HEART BLOOD FLOW, VALVES, AND CHAMBERS WITH GRAPHIC DISPLAY",$911.00,,,,,,,,,,
45900081.0,"CARDIOLOGY - COMPLETE DOPPLER ULTRASOUND STUDY OF HEART BLOOD FLOW, VALVES, AND CHAMBERS WITH GRAPHIC DISPLAY",$911.00,,,,,,,,,,
45900081.0,"CARDIOLOGY - COMPLETE DOPPLER ULTRASOUND STUDY OF HEART BLOOD FLOW, VALVES, AND CHAMBERS WITH GRAPHIC DISPLAY","$1,476.00",,,,,,,,,,
45900081.0,"CARDIOLOGY - COMPLETE DOPPLER ULTRASOUND STUDY OF HEART BLOOD FLOW, VALVES, AND CHAMBERS WITH GRAPHIC DISPLAY","$1,476.00",,,,,,,,,,
45900081.0,"CARDIOLOGY - COMPLETE DOPPLER ULTRASOUND STUDY OF HEART BLOOD FLOW, VALVES, AND CHAMBERS WITH GRAPHIC DISPLAY","$1,476.00",,,,,,,,,,
45900081.0,"CARDIOLOGY - COMPLETE DOPPLER ULTRASOUND STUDY OF HEART BLOOD FLOW, VALVES, AND CHAMBERS WITH GRAPHIC DISPLAY",$911.00,,,,,,,,,,
45900115.0,"CARDIOLOGY - DOPPLER ULTRASOUND COLOR-MAPPING OF HEART BLOOD FLOW, RATE, AND VALVE FUNCTION","$2,258.00",,,,,,,,,,
45900115.0,"CARDIOLOGY - DOPPLER ULTRASOUND COLOR-MAPPING OF HEART BLOOD FLOW, RATE, AND VALVE FUNCTION",$996.00,,,,,,,,,,
45900115.0,"CARDIOLOGY - DOPPLER ULTRASOUND COLOR-MAPPING OF HEART BLOOD FLOW, RATE, AND VALVE FUNCTION","$2,258.00",,,,,,,,,,
45900115.0,"CARDIOLOGY - DOPPLER ULTRASOUND COLOR-MAPPING OF HEART BLOOD FLOW, RATE, AND VALVE FUNCTION",$996.00,,,,,,,,,,
45900115.0,"CARDIOLOGY - DOPPLER ULTRASOUND COLOR-MAPPING OF HEART BLOOD FLOW, RATE, AND VALVE FUNCTION","$2,258.00",,,,,,,,,,
45900115.0,"CARDIOLOGY - DOPPLER ULTRASOUND COLOR-MAPPING OF HEART BLOOD FLOW, RATE, AND VALVE FUNCTION","$2,258.00",,,,,,,,,,
45900073.0,"CARDIOLOGY - ESOPHAGEAL ULTRASOUND EXAM OF HEART INCLUDING PROBE PLACEMENT, IMAGE ACQUISITION, INTERPRETATION AND REPORT","$1,827.00",,,,,,,,,,
45900073.0,"CARDIOLOGY - ESOPHAGEAL ULTRASOUND EXAM OF HEART INCLUDING PROBE PLACEMENT, IMAGE ACQUISITION, INTERPRETATION AND REPORT","$1,827.00",,,,,,,,,,
45900073.0,"CARDIOLOGY - ESOPHAGEAL ULTRASOUND EXAM OF HEART INCLUDING PROBE PLACEMENT, IMAGE ACQUISITION, INTERPRETATION AND REPORT","$1,827.00",,,,,,,,,,
45900073.0,"CARDIOLOGY - ESOPHAGEAL ULTRASOUND EXAM OF HEART INCLUDING PROBE PLACEMENT, IMAGE ACQUISITION, INTERPRETATION AND REPORT","$1,363.00",,,,,,,,,,
45900073.0,"CARDIOLOGY - ESOPHAGEAL ULTRASOUND EXAM OF HEART INCLUDING PROBE PLACEMENT, IMAGE ACQUISITION, INTERPRETATION AND REPORT","$1,363.00",,,,,,,,,,
45900073.0,"CARDIOLOGY - ESOPHAGEAL ULTRASOUND EXAM OF HEART INCLUDING PROBE PLACEMENT, IMAGE ACQUISITION, INTERPRETATION AND REPORT","$1,827.00",,,,,,,,,,
45900149.0,"CARDIOLOGY - EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG MONITORING, TRACING ONLY","$1,544.00",,,,,,,,,,
45900149.0,"CARDIOLOGY - EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG MONITORING, TRACING ONLY","$1,544.00",,,,,,,,,,
45900149.0,"CARDIOLOGY - EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG MONITORING, TRACING ONLY","$1,544.00",,,,,,,,,,
45900149.0,"CARDIOLOGY - EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG MONITORING, TRACING ONLY","$1,375.00",,,,,,,,,,
45900149.0,"CARDIOLOGY - EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG MONITORING, TRACING ONLY","$1,375.00",,,,,,,,,,
45900149.0,"CARDIOLOGY - EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG MONITORING, TRACING ONLY","$1,544.00",,,,,,,,,,
45900065.0,"CARDIOLOGY - ULTRASOUND EXAM OF HEART INCLUDING COLOR-DEPICTED BLOOD FLOW RATE, DIRECTION, AND VALVE FUNCTION","$2,106.00",,,,,,,,,,
